School ID,Name,SEMIS,GPS,Tehsil,UnionCouncil
1103,GBPS : LAKHA DINO SIAL,401010230,"24.6740013405512, 68.9635795251563",Badin,Nindo Shaher
1104,GBPS : HAJI ALLAH DINO MAHRANPOTO,401010231,"24.6114927069927, 69.0043705705801",Badin,Nindo Shaher
1105,GBPS : ALLAH RAKHYO BHURGRI,401010232,"24.5869514028911, 69.0378794062142",Badin,Nindo Shaher
1106,GBPS : SIDDIQUE NOHRIO,401010233,"24.6082494667417, 69.0561291564508",Badin,Nindo Shaher
1107,GBPS : HUSSAIN BAJEER,401010234,"24.5761410990744, 69.0495040974034",Badin,Nindo Shaher
1114,GBPS : RAJO KHAN JAMALI,401010348,"24.6628596583956, 68.9490392752506",Badin,Haji Soomar Abro
1115,GBPS : EIDO KOTAR MALLAH,401010361,"24.6438966636092, 69.0237374577432",Badin,Nindo-Tc
1116,GBPS : SOBDAR SHAH,401010363,"24.672694616973, 68.9927834278343",Badin,Nindo Shaher
1117,GBPS : ABDULLAH KHASKHELI,401010364,"24.6661624724515, 68.9944624803496",Badin,Nindo Shaher
1118,GBPS : ARBAB ABDULLAH,401010365,"24.6304047429032, 69.0213489441107",Badin,Nindo-Tc
1120,GBPS : BACHAL NUHRYO,401010368,"24.6603307146583, 68.9795909751478",Badin,Nindo Shaher
1121,GBPS : ISMAIL NUHRYO,401010369,"24.6492136312381, 68.9911660526702",Badin,Nindo Shaher
1122,GBPS : USMAN DARS,401010370,"24.5897268638787, 69.0672804385433",Badin,Nindo Shaher
1123,GBPS : ALLAH JURIO MALLAH,401010371,"24.6582135877525, 69.0096947441535",Badin,Nindo Shaher
1124,GBPS : DHANI DINO PANHWAR,401010372,"24.6365119606984, 68.9830791847939",Badin,Nindo Shaher
2354,GBPS : PIR LUTUF ALI SHAH,401040047,"24.626966, 69.062455",Tando Bago,TC - Khoski
2366,GBPS : FFR CHAK,401040177,"24.617221, 69.184626",Tando Bago,TC - Khoski
2407,GBPS : MUHAMMAD DARS,401040173,"0, 0",Tando Bago,Pir Bodlo @ Navi More
2765,GBPS : DR. MUHAMMAD ISMAIL,401040247,"24.835, 69.0892",Tando Bago,Domiwali
2790,GBPS : IBRAHIM KHAN LAGHARI,401040539,"0, 0",Tando Bago,Domiwali
2799,GBPS : MUHAMMAD ISMAIL ARAIN,401040679,"24.8739, 69.0861",Tando Bago,Domiwali
2837,GBPS : SAEED KHAN CHANDIO,401040365,"24.738106, 69.03513",Tando Bago,Saeed Khan Bhurgari
2882,GBPS : MUHAMMAD USMAN CHANDIO,401040691,"24.742115, 69.032291",Tando Bago,Saeed Khan Bhurgari
2883,GBPS : MIR MUHAMMAD CHANDIO,401040692,"24.730956, 69.054735",Tando Bago,Saeed Khan Bhurgari
2886,GBPS : NASEER CHALGERI,401040703,"24.73545, 68.995415",Tando Bago,Saeed Khan Bhurgari
2920,GBPS : PUNHOON KHAN CHANDIO,401040244,"24.8441, 69.1261",Tando Bago,Domiwali
2958,GBPS : ABDUL HUSSAIN NIZAMANI,401040629,"24.7856, 69.1275",Tando Bago,Domiwali
2964,GBPS : FAIZ MUHAMMAD UNAR,401040710,"24.7735, 69.1047",Tando Bago,Domiwali
21260,GBPS : URS KHASKHELI@ URIS SOOMRO,401010048,"24.6410851338378, 68.9259582046227",Badin,Muhammad Khan Bhurgari
21261,GBLSS : BABU KHAN CHANG,401010809,"24.6031209345895, 68.9531645179788",Badin,Muhammad Khan Bhurgari
34234,GBPS : MATARO SHAH,401010660,"24.6660626157896, 68.99240522822",Badin,Nindo Shaher
34235,GGHS : NINDO,401010823,"24.6376944575204, 69.0394297254082",Badin,Nindo-Tc
34237,GGPS : HAJI SALEH NOHERIO,401010167,"24.5759777319672, 68.934756517013",Badin,Muhammad Khan Bhurgari
34238,GBPS : ISHAQ SOOMRO,401010337,"24.6206064264087, 68.9275628493245",Badin,Muhammad Khan Bhurgari
34240,GBPS : ADAM PANHWAR,401010514,"24.5664222695525, 69.0499312425717",Badin,Abdullah Shah
34241,GBPS : MUHAMMAD HASHIM SOOMRO,401010613,"24.5961253501771, 68.9082871394847",Badin,Muhammad Khan Bhurgari
34374,GBPS : MUHAMMAD KHAN BHURGRI,401010226,"24.656151439174, 69.0286204213899",Badin,Nindo Shaher
34375,GBPS : KHAMISO KHOKHAR,401010362,"24.6060473677814, 69.0473341941834",Badin,Nindo Shaher
35626,GBPS : ABDULLAH SOOMRO,111669517,"24.7324647827953, 69.0136188268165",Tando Bago,Saeed Khan Bhurgari
1135,GBPS : ALLAH DAD @ GHULAM MUHAMMAD,401020535,"24.7723714484639, 68.7096011641621","Shaheed Fazal Rahu, Golarchi",Gharo
1137,GBLSS : GHARO,401020539,"24.7784670787138, 68.7345349792638","Shaheed Fazal Rahu, Golarchi",Gharo
1245,GBPS : AHMED NOHERIO,401020525,"24.7049195894538, 68.7079489227137","Shaheed Fazal Rahu, Golarchi",Muhammad Shah @ Mureed Chang
1565,GGPS : TARAI,401020090,"24.6888124818659, 68.6720824226546","Shaheed Fazal Rahu, Golarchi",Tarai
1592,GBPS : HAJI UMER JUNEJO,401020421,"24.6993978856556, 68.6631399369252","Shaheed Fazal Rahu, Golarchi",Tarai
1629,GBHS : TARAI,401020566,"24.6885632980997, 68.6728817408789","Shaheed Fazal Rahu, Golarchi",Tarai
1683,GBPS : HAJI THARANI,401020004,"24.6857144520256, 68.6901417389011","Shaheed Fazal Rahu, Golarchi",Gharo
1691,GBPS : GHARO,401020060,"24.7763654189273, 68.7332099678615","Shaheed Fazal Rahu, Golarchi",Gharo
1692,GBELS : HAJI URS LAGHARI,401020061,"24.7803348863726, 68.7138766121841","Shaheed Fazal Rahu, Golarchi",Gharo
1702,GBPS : MUHAMMAD HASSAN MUGHERI,401020162,"24.766610377644, 68.7579225003223","Shaheed Fazal Rahu, Golarchi",Gharo
1704,GBPS : SIDDIQUE MALLAH,401020164,"24.7879058146375, 68.7447488271209","Shaheed Fazal Rahu, Golarchi",Gharo
1707,GBPS : HAJI MALLAH,401020167,"24.7846695447483, 68.7502446751303","Shaheed Fazal Rahu, Golarchi",Gharo
1708,GBPS : GUL MUHAMMAD JATOI,401020168,"24.7400885991063, 68.6996448014685","Shaheed Fazal Rahu, Golarchi",Gharo
1709,GBHSS : HAJI JUNEJO,401020169,"24.6844105367166, 68.6752232903244","Shaheed Fazal Rahu, Golarchi",Gharo
1713,GBPS : HASSAN JUNEJO,401020173,"24.7285145366974, 68.7178060416379","Shaheed Fazal Rahu, Golarchi",Gharo
1714,GBPS : ISMAIL ZEENDPUR,401020174,"24.7107529505963, 68.694174438566","Shaheed Fazal Rahu, Golarchi",Gharo
1721,GBPS : ABDUL MAJEED NOHANI,401020340,"24.7340057663633, 68.6892230778446","Shaheed Fazal Rahu, Golarchi",Gharo
1722,GBPS : SAJAN MALLAH,401020341,"24.7531169632463, 68.7102153894803","Shaheed Fazal Rahu, Golarchi",Gharo
1723,GBPS : BHAGO KOLHI,401020342,"24.762273916619, 68.7460577487946","Shaheed Fazal Rahu, Golarchi",Gharo
1725,GBPS : ALLAH JURIO KHASKHELI,401020345,"24.765361, 68.738456","Shaheed Fazal Rahu, Golarchi",Terai
1729,GBPS : SARDAR MUHAMMAD KHAN NOHANI@ISMAIL,401020406,"24.7810021715901, 68.7523984908065","Shaheed Fazal Rahu, Golarchi",Gharo
1732,GBPS : SALEH KHASKHELI@DODO MALLAH.,401020455,"24.7555100583596, 68.702361881435","Shaheed Fazal Rahu, Golarchi",Gharo
1733,GBPS : MITH CHANG@NOOR MOHD,401020456,"24.716623790731, 68.7007659675181","Shaheed Fazal Rahu, Golarchi",Gharo
1734,GBPS : MUHAMMAD UMER KHASKHELI,401020457,"24.7679767073299, 68.6891359090309","Shaheed Fazal Rahu, Golarchi",Gharo
1735,GGPS : GHARO,401020117,"24.7754643546255, 68.7341594694059","Shaheed Fazal Rahu, Golarchi",Gharo
1829,GBPS : DARYA KHAN JATOI,401050004,"24.8759248129607, 68.8009974413099",Talhar,Talhar-Tc
1833,GBPS : JATOI MUHALLA TALHAR,401050044,"24.8871079427329, 68.8097709148718",Talhar,Talhar-Tc
1838,GGPS : DARYA KHAN JATOI,401050072,"24.8756985479357, 68.8009531794489",Talhar,Talhar-Tc
1842,GBPS : TALHAR (URDU MEDIUM),401050100,"24.8813388268036, 68.8243219224622",Talhar,Talhar-Tc
1845,GBPS : MIR SHAHID AHMED@RASHEED MALLAH,401050118,"24.8485631080864, 68.8352382691656",Talhar,TC - Talhar
1846,GBPS : MALLAH MOHALLA TALHAR,401050132,"24.8863197219542, 68.8115452236928",Talhar,Talhar-Tc
